00000000777000000.mp4,Segment1,Frame:2700,Time:229.6s,TotalBoxes:27,S:2,M:23,L:0
00000000777000000.mp4,Segment1,Frame:2730,Time:232.2s,TotalBoxes:27,S:2,M:23,L:0
00000000777000000.mp4,Segment1,Frame:2760,Time:234.7s,TotalBoxes:27,S:2,M:23,L:0
00000000777000000.mp4,Segment1,Frame:2790,Time:237.2s,TotalBoxes:27,S:2,M:23,L:0
00000000777000000.mp4,Segment1,Frame:2820,Time:239.7s,TotalBoxes:27,S:2,M:23,L:0
00000000777000000.mp4,Segment1,Frame:2850,Time:242.2s,TotalBoxes:28,S:2,M:24,L:0
00000000777000000.mp4,Segment1,Frame:2880,Time:244.8s,TotalBoxes:28,S:2,M:24,L:0
00000000777000000.mp4,Segment1,Frame:2910,Time:247.3s,TotalBoxes:29,S:2,M:25,L:0
00000000777000000.mp4,Segment1,Frame:2940,Time:249.8s,TotalBoxes:29,S:2,M:25,L:0
00000000777000000.mp4,Segment1,Frame:2970,Time:252.3s,TotalBoxes:29,S:2,M:25,L:0
00000000777000000.mp4,Segment1,Frame:3000,Time:254.8s,TotalBoxes:29,S:2,M:25,L:0
00000000777000000.mp4,Segment1,Frame:3030,Time:257.2s,TotalBoxes:29,S:2,M:25,L:0
00000000777000000.mp4,Segment1,Frame:3060,Time:259.7s,TotalBoxes:30,S:2,M:26,L:0
00000000777000000.mp4,Segment1,Frame:3090,Time:262.1s,TotalBoxes:30,S:2,M:26,L:0
00000000777000000.mp4,Segment1,Frame:3120,Time:264.5s,TotalBoxes:31,S:2,M:27,L:0
00000000777000000.mp4,Segment1,Frame:3150,Time:266.9s,TotalBoxes:31,S:2,M:27,L:0
00000000777000000.mp4,Segment1,Frame:3180,Time:269.4s,TotalBoxes:31,S:2,M:27,L:0
00000000777000000.mp4,Segment1,Frame:3210,Time:271.9s,TotalBoxes:31,S:2,M:27,L:0
00000000777000000.mp4,Segment1,Frame:3240,Time:274.4s,TotalBoxes:31,S:2,M:27,L:0
00000000777000000.mp4,Segment1,Frame:3270,Time:276.9s,TotalBoxes:32,S:2,M:28,L:0
00000000777000000.mp4,Segment1,Frame:3300,Time:279.4s,TotalBoxes:33,S:2,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3330,Time:281.9s,TotalBoxes:33,S:2,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3360,Time:284.5s,TotalBoxes:33,S:2,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3390,Time:287.0s,TotalBoxes:33,S:2,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3420,Time:289.5s,TotalBoxes:34,S:3,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3450,Time:292.0s,TotalBoxes:34,S:3,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3480,Time:294.4s,TotalBoxes:34,S:3,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3510,Time:296.9s,TotalBoxes:34,S:3,M:29,L:0
